decode_slot performance, 20 slots per K, seeded bands (-20..0 dB, 200-2750 Hz), 4 threads vs 1
  K  threads |   p50 ms   p95 ms   p99 ms   max ms |  slots/s cpu s/sl |  alloc/sl     decoded     found
  1        4 |      306      370      396      396 |     3.23     0.75 |     20501          20     20/20
  1        1 |      761      894      922      922 |     1.34     0.74 |      2903          20     20/20
  5        4 |      454      486      494      494 |     2.20     1.33 |     27387         100   100/100
  5        1 |     1321     1419     1441     1441 |     0.76     1.31 |      4105         100   100/100
 20        4 |      515      628      722      722 |     1.88     1.49 |     29240         400   400/400
 20        1 |     1410     1509     1537     1537 |     0.71     1.40 |      5790         400   400/400
 50        4 |      793      834      863      863 |     1.30     2.09 |     43480        1000 1000/1000
 50        1 |     2079     2324     2525     2525 |     0.48     2.06 |     10440        1000 1000/1000
Budget: the window closes at slot + 25.5 s and the next slot starts at + 30 s, so a decode must finish in 4.5 s.
